verb_lemma,count
say,19
go,8
ask,6
see,6
look,6
seem,5
know,4
have,4
wait,4
stand,4
think,3
greet,2
find,2
calm,2
accuse,2
catch,2
lose,2
be,2
want,2
remain,2
get,2
face,2
sit,1
shout,1
listen,1
