lemma,count
somewhat,1
disturbing,1
incomprehensible,1
assistant,1
care,1
little,1
court,1
amazement,1
think,1
help,1
woman,1
accumulate,1
enter,1
soon,1
disturbance,1
source,1
likely,1
recognise,1
people,1
attention,1
attract,1
caution,1
despite,1
come,1
work,1
