verb_lemma,count
see,2
look,2
seem,2
point,2
step,1
come,1
have,1
need,1
expect,1
cross,1
swinge,1
cause,1
let,1
appear,1
divert,1
keep,1
make,1
summon,1
run,1
involve,1
