chapter,sentence_count,token_count,avg_tokens_per_sentence
1,529,10847,20.504725897920604
2,246,6353,25.82520325203252
3,393,9366,23.83206106870229
4,138,2820,20.434782608695652
5,111,2668,24.036036036036037
6,370,7958,21.508108108108107
7,821,19348,23.56638246041413
8,606,11325,18.68811881188119
9,357,9038,25.316526610644257
10,100,2060,20.6
