lemma,count
say,9
look,6
policeman,5
hand,5
man,5
hard,4
scream,4
try,3
know,3
hold,3
course,3
actually,3
wear,3
turn,3
want,3
call,3
like,3
wait,2
intend,2
moment,2
important,2
able,2
rod,2
probably,2
shove,2
