verb_lemma,count
say,37
have,13
go,11
do,10
look,9
know,8
make,8
come,8
ask,8
want,7
find,5
think,5
seem,5
speak,5
take,5
tell,4
give,4
move,4
be,4
exaggerate,4
mean,3
show,3
keep,3
open,3
feel,3
