chapter,chapter_title,k_sentences,any_named_sentences,k_focus_ratio
1,Chapter One,138,215,0.641860465116279
2,Chapter Two,76,85,0.8941176470588236
3,Chapter Three,123,146,0.8424657534246576
4,Chapter Four,47,70,0.6714285714285714
5,Chapter Five,33,46,0.717391304347826
6,Chapter Six,87,176,0.4943181818181818
7,Chapter Seven,222,337,0.658753709198813
8,Chapter Eight,158,321,0.49221183800623053
9,Chapter Nine,116,119,0.9747899159663865
10,Chapter Ten,34,35,0.9714285714285714
