lemma,count
titorelli,166
say,67
want,21
ask,20
door,15
way,13
like,11
bed,11
picture,11
think,10
open,10
help,10
girl,10
tell,9
time,9
acquittal,9
take,9
know,9
court,9
come,9
find,8
judge,8
answer,7
go,7
hand,6
