verb_lemma,count
say,69
have,21
want,21
ask,20
go,13
make,12
take,12
do,11
get,11
think,10
tell,9
know,9
see,9
seem,9
come,9
find,8
leave,6
answer,6
give,6
talk,6
paint,6
understand,5
speak,5
show,5
live,4
