verb_lemma,count
say,25
have,10
want,9
make,9
look,8
know,7
do,7
speak,7
believe,6
see,5
feel,4
go,4
ask,4
give,4
think,4
let,4
put,3
hear,3
open,3
call,3
bring,3
tell,3
seem,3
add,3
cry,3
