lemma,count
usher,37
say,19
court,9
look,6
ask,6
see,5
right,5
way,5
yes,5
stand,4
step,4
wait,4
know,4
course,3
go,3
woman,3
think,3
door,3
remain,2
man,2
greet,2
accuse,2
wish,2
high,2
calm,2
