lemma,count
kullich,5
kaminer,4
rabensteiner,3
see,2
man,2
blonde,2
little,2
look,2
time,2
point,2
grin,2
cross,1
expect,1
fact,1
leant,1
wall,1
step,1
height,1
let,1
like,1
gentleman,1
need,1
encouragement,1
tired,1
car,1
