lemma,count
say,837
want,278
look,276
time,265
ask,256
like,227
man,224
hand,223
come,217
way,216
go,207
door,207
think,206
room,202
know,196
court,167
titorelli,166
long,155
take,153
stand,138
thing,132
judge,130
sit,129
see,128
work,122
good,114
tell,114
need,114
little,112
people,112
