lemma,count
say,32
room,15
go,10
look,9
time,9
come,8
know,8
door,8
ask,8
want,7
montag,6
little,6
hand,6
eye,5
think,5
find,5
miss,5
speak,5
exaggerate,4
able,4
yes,4
ought,4
way,4
like,4
long,4
