lemma,count
say,62
ask,25
leni,22
hand,17
look,14
time,12
want,12
long,12
think,11
speak,11
go,10
tell,9
business,8
lawyer,8
turn,7
yes,7
call,7
judge,7
know,6
move,6
stand,6
sit,6
let,6
candle,6
way,6
