lemma,count
say,22
room,13
look,10
want,9
time,7
know,7
speak,7
yes,6
believe,6
captain,5
way,5
door,5
maid,4
nephew,4
let,4
feel,4
window,4
day,4
morning,4
think,4
ask,4
add,3
call,3
hear,3
arrest,3
