lemma,count
supervisor,37
say,9
room,6
look,5
policeman,5
hand,5
table,4
bank,4
box,3
shout,3
match,3
ask,3
sit,3
notice,3
desk,3
staff,3
think,3
want,3
people,3
remember,3
call,2
leave,2
stand,2
thing,2
group,2
