lemma,count
say,37
ask,11
think,10
hand,10
trial,9
bed,8
stand,8
time,8
josef,7
sit,7
door,7
come,7
way,7
look,6
leni,6
speak,6
right,6
candle,6
stop,6
call,6
friend,6
matter,5
go,5
word,5
good,5
