verb_lemma,count
have,3
do,2
come,2
look,2
seem,2
swinge,1
see,1
go,1
travel,1
involve,1
work,1
curse,1
nod,1
need,1
step,1
let,1
cause,1
appear,1
point,1
divert,1
keep,1
make,1
summon,1
run,1
grin,1
