verb_lemma,count
say,10
go,3
have,2
do,2
punish,2
beat,2
turn,2
dress,2
get,2
tell,2
look,2
know,2
insist,2
remember,2
lead,1
receive,1
want,1
cower,1
listen,1
interrupt,1
bring,1
make,1
strip,1
point,1
be,1
