lemma,count
leni,106
say,41
hand,20
ask,16
want,11
look,10
door,9
come,8
answer,8
let,7
go,7
hold,7
away,7
take,7
think,7
tell,7
way,6
time,6
call,6
bed,6
close,5
stand,5
like,5
stop,5
try,5
