lemma,count
say,9
man,4
policeman,4
go,3
cane,3
hand,3
hold,2
dress,2
get,2
beat,2
whip,2
way,2
punish,2
remember,2
turn,2
insist,2
tell,2
know,2
look,2
badly,2
totally,1
instance,1
naked,1
point,1
career,1
