verb_lemma,count
say,67
ask,25
have,16
look,14
want,12
go,12
speak,11
think,11
tell,9
call,8
see,8
take,8
do,7
turn,7
move,7
stand,6
let,6
give,6
seem,6
sit,6
know,6
hear,5
stop,5
find,4
try,4
