verb_lemma,count
say,39
do,13
have,11
ask,11
think,10
see,10
make,10
stand,8
seem,7
sit,7
go,7
come,7
call,6
look,6
stop,6
speak,6
want,5
listen,5
get,5
turn,4
walk,4
forget,4
take,4
show,4
be,4
