verb_lemma,count
say,10
look,6
get,6
wear,3
turn,3
call,3
scream,3
do,3
have,3
know,3
want,3
try,3
hold,2
come,2
prevent,2
wait,2
give,2
intend,2
show,2
mean,2
tell,2
find,2
set,2
hear,2
see,2
