verb_lemma,count
say,43
ask,16
go,13
have,12
want,11
look,10
see,10
take,9
come,8
call,7
let,7
tell,7
do,7
think,7
make,6
stand,5
stop,5
answer,5
try,5
give,5
speak,4
hear,4
pull,4
get,4
watch,4
